taxon	min_age	max_age
Biarmosuchus_tener	0	0
Hipposaurus_boonstrai	0	00
Archaeosyodon_praeventor	0	0
Titanophoneus_potens	0	0
Gorgonops_torvus	0	00
Lycosuchus_vanderrieti	0	00
Glanosuchus_macrops	0	00
Biseridens_qilianicus	00	0
Anomocephalus_africanus	0	0
Tiarajudens_eccentricus	0	0
Otsheria_netzvetajevi	0	0
Ulemica_sp	0	0
Suminia_getmanovi	0	0
Patranomodon_nyaphulii	0	00
Galeops_whaitsi	0	00
Galepus_jouberti	0	0
Galechirus_scholtzi	0	00
Eodicynodon_oelofseni	0	0
Eodicynodon_oosthuizeni	0	00
Colobodectes_cluveri	0	0
Lanthanostegus_mohoii	0	00
Eosimops_newtoni	0	00
Diictodon_feliceps	0	0
Robertia_broomiana	0	00
Prosictodon_dubei	0	0
Endothiodon_bathystoma	0	00
Endothiodon_tolani	0	00
Niassodon_mfumukasi	0	0
Brachyprosopus_broomi	0	00
Pristerodon_mackayi	0	00
Emydops	0	0
Digalodon_rubidgei	0	0
Dicynodontoides	0	0
Kombuisia_frerensis	0	0
Myosaurus_gracilis	0	0
Cistecephalus_microrhinus	0	00
Cistecephaloides_boonstrai	0	0
Kawingasaurus_fossilis	0	0
Daqingshanodon_limbus	0	0
Keyseria_benjamini	0	0
Rhachiocephalus_magnus	0	0
Kitchinganomodon_crassus	0	0
Oudenodon_bainii	0	0
Tropidostoma_dubium	0	00
Australobarbarus	0	0
Syops_vanhoepeni	0	0
Odontocyclops_whaitsi	0	0
Idelesaurus_tataricus	0	0
Aulacephalodon_bainii	0	0
Pelanomodon_moschops	0	0
Geikia_locusticeps	0	0
Geikia_elginensis	0	0
Elph_borealis	0	0
Interpresosaurus_blomi	0	0
Katumbia_parringtoni	0	0
Delectosaurus_arefjevi	0	0
Dicynodon_lacerticeps	0	0
Dicynodon_huenei	0	0
Daptocephalus_leoniceps	0	0
Dinanomodon_gilli	0	0
Peramodon_amalitzkii	0	0
Vivaxosaurus_trautscholdi	0	0
Jimusaria_sinkiangensis	0	0
Sintocephalus_alticeps	0	0
Basilodon_woodwardi	0	0
Turfanodon_bogdaensis	0	0
Gordonia_traquairi	0	0
Euptychognathus_bathyrhynchus	0	0
Lystrosaurus_hedini	0	0
Lystrosaurus_maccaigi	0	0
Lystrosaurus_curvatus	0	0
Lystrosaurus_declivis	0	0
Lystrosaurus_murrayi	0	0
Shansiodon_sp.	0	0
Tetragonias_njalilus	0	0
Vinceria_andina	0	0
Rhinodicynodon_gracile	0	0
Dinodontosaurus_Sp.	0	0
Angonisaurus_cruickshanki	0	0
Kannemeyeria_simocephalus	0	0
Kannemeyeria_lophorhinus	0	0
Dolichuranus_primaevus	0	0
Sinokannemeyeria_sp.	0	0
Parakannemeyeria_sp.	0	0
Xiyukannemeyeria_brevirostris	0	0
Rabidosaurus_cristatus	0	0
Rhadiodromus	0	0
Wadiasaurus_indicus	0	0
Shaanbeikannemeyeria_sp.	0	0
Rechnisaurus_cristarhynchus	0	0
Uralokannemeyeria_vjuschkovi	0	0
Zambiasaurus_submersus	0	0
Placerias_hesternus	0	0
Moghreberia_nmachouensis	0	0
Stahleckeria_potens	0	0
Sangusaurus_parringtonii	0	0
Eubrachiosaurus_browni	0	0
Jachaleria_sp.	0	0
Ischigualastia_jenseni	0	0
Rastodon_procurvidens	0	00
Sauroscaptor_tharavati	0	0
Bulbasaurus_phylloxyron	0	0
Compsodon_helmoedi	0	0
Pentasaurus_goggai	0	0
Thliptosaurus_imperforatus	0	0.0
Dicynodon_angielczyki	0	0.0
Daptocephalus_huenei	0	0.0
